'D'-form resistance scalars, generated 28/03/2022 11:08:27
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 4.10000000e+00  1.00000000e+00  0.00000000e+00  1.96116730e-03  2.30110186e-04 -2.57159941e-06  5.67490268e-05  1.86648000e-04  1.92026871e-03  1.78628726e-04 -1.51241601e-04  1.33195290e-03  5.36515871e-04  4.24033550e-05
 4.10000000e+00  1.00000000e+00  1.00000000e+00 -1.46327687e-03 -8.64538669e-05  2.96580118e-05 -1.88383824e-06 -1.25851322e-05 -1.14068107e-03 -2.32218246e-05  3.22894308e-05  5.04225004e-04 -4.80034292e-05  6.97164459e-08
 4.20000000e+00  1.00000000e+00  0.00000000e+00  1.65818287e-03  1.98336299e-04 -1.65328323e-07  4.65104581e-05  1.52696324e-04  1.60352265e-03  1.52250072e-04 -1.25348338e-04  1.09640253e-03  4.45875201e-04  3.50186845e-05
 4.20000000e+00  1.00000000e+00  1.00000000e+00 -1.21145554e-03 -7.24490670e-05  2.34264515e-05 -1.42614137e-06 -9.85457406e-06 -9.25169802e-04 -1.96071792e-05  2.52252047e-05  3.98728130e-04 -3.70268588e-05  5.11874333e-08
 4.30000000e+00  1.00000000e+00  0.00000000e+00  1.40980437e-03  1.71637233e-04  1.41115610e-06  3.83100329e-05  1.25579143e-04  1.34607314e-03  1.30204582e-04 -1.04322613e-04  9.06997568e-04  3.72026930e-04  2.90481974e-05
 4.30000000e+00  1.00000000e+00  1.00000000e+00 -1.00862081e-03 -6.10227591e-05  1.86234400e-05 -1.08751136e-06 -7.76290500e-06 -7.54746694e-04 -1.66090972e-05  1.98350249e-05  3.17284372e-04 -2.87270527e-05  3.78169689e-08
 4.40000000e+00  1.00000000e+00  0.00000000e+00  1.20480863e-03  1.49090599e-04  2.40910228e-06  3.17054315e-05  1.03791403e-04  1.13550400e-03  1.11711486e-04 -8.71715268e-05  7.53828055e-04  3.11599141e-04  2.41976160e-05
 4.40000000e+00  1.00000000e+00  1.00000000e+00 -8.44169130e-04 -5.16425519e-05  1.48954052e-05 -8.35001370e-07 -6.15046490e-06 -6.19090643e-04 -1.41127675e-05  1.56932250e-05  2.53975332e-04 -2.24124203e-05  2.81101353e-08
 4.50000000e+00  1.00000000e+00  0.00000000e+00  1.03455486e-03  1.29962568e-04  3.00491609e-06  2.63579837e-05  8.61873057e-05  9.62272449e-04  9.61428050e-05 -7.31198890e-05  6.29298031e-04  2.61947064e-04  2.02385738e-05
 4.50000000e+00  1.00000000e+00  1.00000000e+00 -7.10019095e-04 -4.38979762e-05  1.19824854e-05 -6.45307757e-07 -4.89987532e-06 -5.10440775e-04 -1.20268017e-05  1.24894020e-05  2.04441881e-04 -1.75796317e-05  2.10201705e-08
